                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.808,                 1.6961,                 1.6697,                0.07287,                0.68125,                 0.0631,                0.02489,                 2.0095,                 109.79,                 2.0956,             0.00064912,             0.00064912,             0.00064912
                      2,                 1.8602,                 1.6202,                 1.7478,                0.01603,                0.08125,                0.00485,                0.00094,                    nan,                    nan,                    nan,              0.0013114,              0.0013114,              0.0013114
                      3,                 1.8178,                 1.5742,                 1.7262,                0.00461,                  0.325,                0.00297,                0.00096,                 3.1306,                 110.54,                 2.9967,              0.0019694,              0.0019694,              0.0019694
                      4,                 1.8299,                 1.5847,                 1.7147,                0.01108,                 0.5125,                0.00868,                0.00325,                 2.7295,                    inf,                 2.7978,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.8635,                 1.6014,                 1.7205,                0.11268,                0.26875,                0.08478,                0.03144,                 2.1269,                 7.9415,                 2.0877,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.7406,                  1.495,                 1.6344,                0.11422,                 0.2125,                0.07785,                0.02976,                 2.4674,                 5.2896,                  2.379,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.8101,                 1.5056,                  1.691,                0.08304,                 0.4625,                0.05943,                0.02043,                 2.5468,                 9.7715,                 2.3438,               0.001967,               0.001967,               0.001967
                      8,                 1.7271,                 1.5031,                 1.6433,                0.59921,                 0.4859,                0.47694,                0.19406,                 2.1289,                 1.9133,                 1.9788,              0.0019604,              0.0019604,              0.0019604
                      9,                  1.745,                 1.5257,                 1.6502,                0.62764,                  0.525,                0.55888,                0.26483,                 1.9554,                 1.7516,                 1.8159,              0.0019538,              0.0019538,              0.0019538
                     10,                  1.677,                  1.456,                 1.5926,                0.57311,                0.46875,                0.46164,                0.21671,                 1.9566,                  1.918,                 1.8709,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.6797,                 1.4268,                 1.6151,                0.69058,                0.51612,                0.54292,                 0.2471,                 1.9549,                 1.6704,                 1.8337,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.6506,                 1.4508,                 1.5879,                0.59975,                0.46827,                0.48979,                0.18945,                 2.2529,                 1.7438,                 1.9822,               0.001934,               0.001934,               0.001934
                     13,                  1.657,                 1.4344,                 1.5883,                0.61655,                0.48125,                0.48652,                0.22897,                 2.0596,                 1.5613,                 1.8353,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.6321,                 1.4068,                 1.5793,                0.52839,                0.54621,                0.54555,                0.23741,                 2.0244,                 1.8708,                 1.8426,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.6423,                 1.4032,                 1.5968,                0.47595,                0.54375,                 0.5034,                0.22056,                 1.9641,                 1.7165,                 1.8484,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.6078,                 1.3302,                 1.5486,                0.51496,                 0.5875,                0.53427,                0.23365,                 2.0336,                 1.7056,                 1.8619,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.6158,                 1.4193,                 1.5734,                0.56785,                 0.4625,                0.51521,                0.20539,                   2.21,                  1.696,                 2.0007,               0.001901,               0.001901,               0.001901
                     18,                 1.5981,                 1.3528,                 1.5393,                0.60659,                 0.6125,                0.58861,                0.26745,                 1.9116,                 1.6144,                 1.7965,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.5834,                 1.3365,                 1.5295,                0.57189,                0.57608,                0.54874,                0.27882,                 1.8381,                 1.6836,                 1.7701,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.5645,                 1.3333,                 1.5261,                0.68584,                    0.5,                0.55436,                0.25276,                 1.8538,                 1.6815,                 1.7412,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.5866,                 1.3833,                 1.5339,                0.66865,                0.45625,                0.50799,                0.21291,                 2.0431,                 1.7635,                 1.8414,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.5858,                 1.3242,                 1.5199,                0.56021,                    0.6,                0.54663,                0.22682,                 1.9703,                 1.7194,                 1.7915,               0.001868,               0.001868,               0.001868
                     23,                 1.5906,                 1.3198,                 1.5379,                 0.6968,                0.54375,                0.54742,                0.23528,                 1.9718,                 1.6229,                 1.7374,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.5822,                 1.3402,                  1.549,                0.49447,                0.56854,                0.53455,                0.23202,                 2.1186,                 1.6338,                 1.8719,              0.0018548,              0.0018548,              0.0018548
                     25,                  1.536,                 1.3375,                 1.5118,                0.66097,                0.59375,                0.56738,                0.25693,                 1.8895,                 1.7189,                 1.8205,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.5636,                 1.3513,                 1.5105,                0.59085,                 0.5375,                0.49544,                0.18196,                 2.1618,                 1.8052,                  2.013,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.5453,                 1.3678,                  1.511,                0.67363,                 0.6192,                0.58019,                0.27201,                 1.7852,                  1.579,                 1.6853,               0.001835,               0.001835,               0.001835
                     28,                 1.5107,                 1.3028,                 1.4954,                0.57774,                 0.5644,                0.54361,                0.21831,                 2.1475,                 1.4963,                 1.9658,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.5269,                 1.2477,                 1.4707,                0.56491,                 0.5875,                0.55359,                0.25103,                 1.9329,                 1.5408,                 1.7922,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.5006,                 1.2719,                 1.4795,                0.58533,                0.64403,                0.58028,                0.26119,                 1.8782,                 1.5035,                 1.7356,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.4869,                 1.2788,                 1.4672,                0.61068,                 0.6375,                0.59549,                0.27374,                 1.9098,                 1.4946,                 1.7511,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.5138,                 1.2884,                  1.503,                0.71681,                  0.525,                0.57326,                0.25098,                 2.0203,                 1.5907,                 1.7978,               0.001802,               0.001802,               0.001802
                     33,                 1.5539,                 1.2666,                 1.5086,                0.59076,                    0.6,                0.59285,                0.27598,                 1.9172,                 1.4524,                 1.7785,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.4776,                 1.2909,                 1.4672,                0.60304,                0.64375,                0.57473,                0.26089,                 2.0052,                 1.5318,                 1.8784,              0.0017888,              0.0017888,              0.0017888
                     35,                  1.503,                 1.2682,                 1.5075,                0.60978,                 0.5875,                0.53721,                0.25696,                  1.894,                 1.5773,                 1.8239,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.5191,                   1.29,                 1.5069,                0.56601,                 0.6375,                 0.5407,                0.26912,                 1.9348,                 1.5544,                 1.8433,              0.0017756,              0.0017756,              0.0017756
                     37,                  1.474,                 1.2501,                 1.4906,                0.52451,                 0.6625,                0.58872,                0.26083,                 1.9302,                 1.4609,                 1.8357,               0.001769,               0.001769,               0.001769
                     38,                 1.4652,                 1.2401,                 1.4549,                0.54075,                 0.5625,                0.52156,                0.25054,                 1.9814,                 1.5334,                 1.8161,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.4551,                 1.1917,                 1.4638,                0.56369,                0.61875,                0.55587,                  0.258,                  1.944,                 1.4454,                 1.8289,              0.0017558,              0.0017558,              0.0017558
