                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6706,                 1.6923,                 1.1519,                0.46958,                0.56166,                0.50144,                0.24401,                 1.6499,                 1.6183,                 1.2296,             0.00054816,             0.00054816,             0.00054816
                      2,                 1.5652,                 1.1754,                 1.1104,                0.54595,                0.44348,                0.44108,                0.18161,                 1.8831,                 1.6382,                 1.2938,              0.0010965,              0.0010965,              0.0010965
                      3,                 1.6581,                 1.2157,                 1.1245,                0.21342,                0.13859,                0.07617,                0.03443,                 2.0916,                 24.534,                 1.4317,              0.0016376,              0.0016376,              0.0016376
                      4,                 1.6199,                 1.2026,                 1.1102,                0.53313,                 0.3625,                0.37562,                0.16643,                 1.7521,                 2.0213,                 1.2431,               0.001634,               0.001634,               0.001634
                      5,                 1.5844,                 1.1401,                 1.0996,                0.61238,                0.62369,                0.65136,                0.32468,                 1.6196,                 1.1831,                 1.1879,               0.001634,               0.001634,               0.001634
                      6,                 1.5729,                 1.1073,                 1.0902,                0.58754,                0.52446,                0.56764,                0.24608,                 1.8119,                 1.3902,                 1.2682,               0.001623,               0.001623,               0.001623
                      7,                 1.5227,                 1.0224,                 1.0728,                0.65334,                0.62196,                0.64549,                0.30332,                 1.7651,                 1.1211,                 1.2347,               0.001612,               0.001612,               0.001612
                      8,                 1.5067,                 1.0182,                 1.0736,                0.64883,                0.62933,                0.66114,                0.32846,                 1.6392,                 1.1931,                 1.1964,               0.001601,               0.001601,               0.001601
                      9,                 1.4738,                0.97292,                 1.0545,                0.60938,                 0.6028,                0.59842,                 0.2941,                  1.706,                 1.1803,                 1.2231,                0.00159,                0.00159,                0.00159
                     10,                 1.4571,                 0.9894,                 1.0432,                0.52596,                0.54293,                0.52325,                 0.2622,                 1.6342,                 1.3423,                 1.1815,               0.001579,               0.001579,               0.001579
                     11,                   1.41,                0.92257,                 1.0303,                0.70651,                 0.6538,                0.69413,                 0.3523,                 1.6113,                 1.1076,                 1.1758,               0.001568,               0.001568,               0.001568
                     12,                 1.4163,                0.94096,                 1.0368,                0.63975,                0.59248,                0.65517,                0.32722,                 1.5732,                 1.2341,                  1.166,               0.001557,               0.001557,               0.001557
                     13,                 1.3834,                0.91792,                  1.014,                0.70564,                0.57391,                0.64032,                0.30841,                 1.6416,                    1.2,                 1.1806,               0.001546,               0.001546,               0.001546
                     14,                 1.3649,                0.88491,                 1.0145,                0.71739,                0.62017,                0.66493,                0.33979,                 1.6244,                 1.0445,                 1.1855,               0.001535,               0.001535,               0.001535
                     15,                 1.3646,                0.87086,                 1.0198,                0.73088,                0.60043,                0.70494,                0.34507,                 1.6444,                 1.1031,                 1.1766,               0.001524,               0.001524,               0.001524
                     16,                  1.376,                0.87963,                 1.0066,                0.68661,                0.64861,                0.68586,                0.34318,                 1.5668,                  1.067,                 1.1699,               0.001513,               0.001513,               0.001513
                     17,                  1.317,                  0.816,                0.99974,                0.60287,                0.67586,                0.66425,                0.32219,                 1.6184,                  1.064,                 1.1793,               0.001502,               0.001502,               0.001502
                     18,                 1.3167,                0.80773,                 1.0022,                0.76904,                0.68508,                0.75168,                0.38918,                 1.5224,                0.93009,                 1.1452,               0.001491,               0.001491,               0.001491
                     19,                 1.2821,                0.78928,                0.98662,                0.69293,                0.67986,                 0.7177,                  0.353,                 1.6387,                 1.0671,                 1.1932,                0.00148,                0.00148,                0.00148
                     20,                 1.3044,                0.81673,                 1.0107,                0.70698,                0.63641,                0.67575,                0.32663,                 1.6521,                  1.127,                 1.1817,               0.001469,               0.001469,               0.001469
                     21,                 1.2608,                0.79927,                0.98998,                0.74678,                0.64212,                0.71317,                0.34885,                 1.6793,                 1.0013,                 1.2038,               0.001458,               0.001458,               0.001458
                     22,                 1.2622,                0.77767,                0.98177,                0.74355,                0.62851,                0.70777,                0.36688,                  1.583,                0.99483,                 1.1568,               0.001447,               0.001447,               0.001447
                     23,                  1.251,                0.75831,                0.96608,                0.71033,                0.65109,                0.70683,                0.35958,                 1.5286,                 1.0386,                  1.146,               0.001436,               0.001436,               0.001436
                     24,                 1.2351,                0.75545,                0.96559,                0.66286,                0.70218,                0.69175,                0.34563,                 1.6158,                  1.061,                 1.1885,               0.001425,               0.001425,               0.001425
                     25,                 1.2033,                0.72985,                 0.9671,                0.71183,                0.66848,                0.71688,                0.36874,                 1.5521,                 1.0494,                  1.156,              0.0014139,              0.0014139,              0.0014139
                     26,                 1.2496,                0.74646,                0.97173,                0.77581,                0.56939,                0.69775,                0.35948,                 1.5527,                 1.0572,                 1.1523,              0.0014029,              0.0014029,              0.0014029
                     27,                 1.2201,                0.72469,                 0.9708,                0.66965,                 0.6538,                0.66888,                 0.3503,                 1.5712,                 1.0637,                  1.158,              0.0013919,              0.0013919,              0.0013919
                     28,                 1.2297,                0.73551,                0.97508,                0.70841,                0.69675,                0.71817,                0.36091,                 1.6194,                0.97343,                 1.1832,              0.0013809,              0.0013809,              0.0013809
                     29,                 1.1899,                0.69774,                0.95266,                0.70212,                  0.675,                0.69982,                0.36337,                 1.5571,                0.99895,                 1.1645,              0.0013699,              0.0013699,              0.0013699
                     30,                 1.1716,                0.71255,                 0.9549,                0.70492,                0.65547,                0.70692,                0.36296,                 1.5617,                 1.0327,                 1.1655,              0.0013589,              0.0013589,              0.0013589
                     31,                 1.1499,                0.67383,                0.94373,                0.77579,                0.68967,                0.74131,                  0.374,                 1.5595,                0.95208,                 1.1681,              0.0013479,              0.0013479,              0.0013479
                     32,                 1.1523,                0.68958,                0.94917,                0.72546,                0.63516,                0.70403,                0.34801,                 1.6242,                 1.0705,                 1.1882,              0.0013369,              0.0013369,              0.0013369
                     33,                 1.1751,                 0.6748,                0.94707,                0.72342,                0.70819,                0.74781,                 0.3907,                 1.5648,                 0.9152,                 1.1731,              0.0013259,              0.0013259,              0.0013259
                     34,                 1.1397,                0.66253,                0.94834,                0.73574,                0.68019,                0.71131,                0.35766,                 1.5773,                 1.0585,                 1.1794,              0.0013149,              0.0013149,              0.0013149
                     35,                 1.1692,                0.67655,                 0.9485,                0.68928,                0.68641,                0.72335,                0.35236,                 1.5815,                 1.0027,                 1.1904,              0.0013039,              0.0013039,              0.0013039
                     36,                 1.1247,                0.65722,                0.93986,                0.66804,                0.62024,                0.67349,                 0.3403,                 1.6008,                 1.2068,                 1.1885,              0.0012929,              0.0012929,              0.0012929
                     37,                 1.1323,                0.65695,                0.92643,                0.80073,                0.64639,                0.75491,                0.39278,                 1.5744,                0.94394,                 1.1864,              0.0012819,              0.0012819,              0.0012819
