                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3222,                 0.8938,                 1.0141,                0.83595,                0.62035,                0.69914,                0.36323,                 1.8054,                 1.2763,                 1.1659,             0.00066494,             0.00066494,             0.00066494
                      2,                 1.2971,                0.69612,                0.98873,                0.94987,                0.87826,                0.92922,                0.58811,                 1.2647,                0.68887,                0.99659,              0.0013184,              0.0013184,              0.0013184
                      3,                 1.2873,                0.68816,                0.98785,                0.93604,                 0.8669,                0.91288,                0.58019,                 1.2566,                0.72132,                0.97658,              0.0019587,              0.0019587,              0.0019587
                      4,                 1.2476,                0.65871,                0.97598,                0.95698,                0.86576,                0.91308,                 0.5862,                 1.3224,                0.70276,                0.99114,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2305,                0.63631,                0.96585,                0.94833,                0.89728,                0.92517,                0.60601,                 1.2115,                 0.6514,                0.96492,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2075,                0.61835,                0.95865,                0.95905,                0.89098,                0.93065,                 0.6146,                 1.2304,                0.64019,                0.96394,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.2039,                0.61188,                0.95516,                0.96486,                0.89547,                 0.9343,                0.62811,                 1.1817,                0.59167,                0.95294,               0.001901,               0.001901,               0.001901
                      8,                 1.1757,                0.59168,                 0.9491,                0.94027,                0.88972,                0.93099,                 0.6113,                 1.2022,                0.62169,                 0.9625,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1624,                0.57026,                0.94879,                0.96387,                0.91348,                0.94513,                0.64471,                 1.1699,                0.56424,                0.94357,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1494,                0.55907,                0.94138,                0.96598,                0.91044,                0.94591,                0.65385,                 1.1392,                0.54751,                0.93884,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1381,                  0.556,                0.93589,                0.97958,                0.90924,                0.94951,                 0.6506,                 1.1501,                0.53846,                0.94499,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1265,                 0.5469,                0.93359,                0.96618,                0.90652,                0.94886,                0.64499,                 1.1351,                0.54705,                 0.9332,               0.001802,               0.001802,               0.001802
                     13,                 1.1193,                0.54111,                 0.9309,                0.96993,                0.91162,                0.94997,                0.63876,                 1.1546,                0.54432,                0.94319,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.1111,                0.53229,                0.93073,                0.97565,                0.91468,                0.95164,                0.64276,                 1.1486,                0.52472,                0.93969,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.1126,                0.52812,                0.93187,                0.98018,                0.91359,                0.94923,                0.66293,                 1.1107,                 0.5074,                0.92661,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0998,                 0.5186,                0.93126,                0.97578,                0.91971,                0.95617,                0.66932,                 1.1246,                0.50728,                0.93478,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1143,                0.52358,                0.93122,                0.97896,                 0.9105,                0.95421,                0.65746,                 1.1292,                0.50204,                0.93459,               0.001703,               0.001703,               0.001703
                     18,                 1.1042,                0.52039,                0.92668,                0.97826,                0.90468,                0.95153,                0.65106,                 1.1549,                0.51072,                0.93943,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0982,                  0.508,                0.92855,                0.97834,                 0.9083,                0.95102,                0.65024,                 1.1505,                0.51562,                0.93507,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0823,                0.50678,                0.92501,                0.98696,                0.90498,                0.95466,                0.66325,                 1.1235,                0.49753,                 0.9364,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.0945,                0.51299,                0.92356,                0.97847,                0.91381,                0.95509,                0.65181,                 1.1154,                 0.5165,                0.93051,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0757,                0.49974,                0.92194,                0.98094,                0.92282,                0.95733,                0.65755,                 1.1522,                0.51484,                 0.9318,               0.001604,               0.001604,               0.001604
                     23,                 1.0732,                0.49459,                0.92431,                0.97666,                0.90974,                0.95341,                0.66405,                 1.1138,                0.49053,                0.93209,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.0823,                0.49668,                0.92263,                 0.9755,                0.92391,                0.95472,                 0.6685,                 1.1045,                0.47715,                0.92545,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.0776,                0.49714,                0.91696,                0.98429,                0.91933,                0.95916,                0.67524,                 1.0868,                0.48107,                0.92521,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.0706,                0.48518,                0.92148,                0.97976,                0.92099,                0.95279,                0.66442,                  1.099,                0.47459,                0.92655,              0.0015248,              0.0015248,              0.0015248
                     27,                  1.066,                0.48397,                0.92014,                0.97328,                0.91957,                0.95611,                0.67286,                 1.1014,                0.46444,                0.92433,               0.001505,               0.001505,               0.001505
                     28,                 1.0529,                0.47921,                0.91505,                0.97599,                0.92337,                0.95684,                0.67555,                 1.0946,                0.48524,                0.92301,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.0496,                0.47576,                0.91101,                0.97631,                0.91826,                0.95838,                0.67273,                 1.0866,                 0.4618,                0.92447,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.0478,                 0.4681,                0.91686,                0.98322,                0.91902,                0.95694,                 0.6773,                 1.0754,                0.44588,                0.91997,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.0412,                 0.4719,                0.91236,                0.98195,                0.91679,                0.96124,                 0.6872,                 1.0699,                0.45151,                0.91758,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.0522,                0.47251,                0.91799,                0.98213,                0.92607,                0.95835,                 0.6786,                 1.0731,                0.45155,                0.91812,               0.001406,               0.001406,               0.001406
                     33,                 1.0378,                0.47067,                0.91361,                0.97869,                0.92391,                0.95493,                0.65998,                 1.0986,                 0.4706,                0.92409,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.0413,                0.46929,                0.91615,                0.97573,                0.91753,                0.95377,                0.67061,                 1.0801,                0.45883,                  0.923,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.0428,                0.46397,                0.91057,                0.97866,                0.92232,                0.95656,                0.67638,                 1.0698,                0.44505,                0.91802,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0288,                0.45958,                0.91003,                0.97702,                0.92413,                0.95878,                0.67925,                 1.0706,                0.44558,                 0.9181,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0383,                0.46162,                0.91155,                0.98025,                0.91696,                0.95389,                 0.6715,                 1.0778,                0.45375,                0.91444,               0.001307,               0.001307,               0.001307
                     38,                 1.0245,                0.45493,                0.90918,                 0.9826,                0.92083,                0.96055,                0.68232,                  1.074,                0.44354,                0.91814,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0324,                0.46183,                0.91448,                0.98004,                0.93407,                0.96423,                0.69253,                 1.0548,                0.42344,                 0.9137,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0127,                0.44841,                0.90718,                 0.9804,                0.92609,                0.96341,                0.68379,                 1.0717,                0.42611,                0.91899,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0204,                 0.4474,                0.90618,                0.98102,                0.92719,                0.96353,                0.68588,                 1.0477,                0.43044,                0.91264,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0128,                0.44752,                0.90553,                0.98779,                0.92361,                0.96416,                0.68456,                 1.0681,                0.43077,                0.92016,               0.001208,               0.001208,               0.001208
                     43,                 1.0135,                0.44617,                0.90447,                0.97791,                0.93315,                0.96297,                0.68448,                 1.0508,                0.42659,                0.91257,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0139,                0.44258,                0.90692,                 0.9718,                0.93661,                0.96162,                0.68588,                 1.0611,                0.42842,                0.91531,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.005,                0.44034,                0.90401,                0.98221,                0.92228,                0.95906,                0.68521,                 1.0671,                0.42885,                0.91727,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0035,                0.43706,                0.90274,                0.98064,                0.92772,                0.96346,                0.68962,                 1.0719,                0.41996,                0.91801,              0.0011288,              0.0011288,              0.0011288
                     47,                0.99981,                0.43321,                0.90755,                0.96821,                0.92689,                0.96133,                0.68472,                 1.0684,                0.42216,                0.91554,               0.001109,               0.001109,               0.001109
                     48,                0.99571,                0.43352,                0.89946,                0.97196,                0.92935,                0.96219,                0.68412,                 1.0568,                0.41881,                0.91404,              0.0010892,              0.0010892,              0.0010892
                     49,                0.99019,                0.43381,                0.90286,                0.97598,                0.92746,                0.96277,                0.68534,                 1.0503,                0.42032,                0.91291,              0.0010694,              0.0010694,              0.0010694
                     50,                0.99354,                0.43357,                0.90071,                0.97793,                0.92935,                0.96365,                0.68884,                 1.0485,                0.41324,                0.91392,              0.0010496,              0.0010496,              0.0010496
                     51,                0.99726,                0.42899,                0.90013,                0.97207,                0.93424,                0.96353,                0.68539,                 1.0604,                0.41375,                 0.9138,              0.0010298,              0.0010298,              0.0010298
                     52,                0.97806,                 0.4213,                0.90114,                0.97983,                0.92411,                0.95954,                 0.6882,                 1.0509,                0.41213,                0.91108,                0.00101,                0.00101,                0.00101
                     53,                0.99008,                0.42743,                0.90244,                0.97687,                0.93043,                0.96287,                0.68833,                 1.0486,                0.40975,                 0.9123,              0.0009902,              0.0009902,              0.0009902
                     54,                0.98024,                0.42306,                0.89869,                 0.9792,                0.92129,                0.95735,                0.68398,                 1.0599,                0.41144,                0.91599,              0.0009704,              0.0009704,              0.0009704
                     55,                0.97787,                0.41906,                0.89636,                0.97252,                0.93261,                0.96352,                0.68872,                 1.0453,                0.41251,                0.91246,              0.0009506,              0.0009506,              0.0009506
                     56,                0.97642,                0.42204,                0.89573,                0.98419,                0.93043,                0.96673,                0.69485,                 1.0497,                0.40342,                0.91338,              0.0009308,              0.0009308,              0.0009308
                     57,                0.97663,                0.41595,                0.89932,                0.98392,                0.93115,                0.96644,                0.69527,                 1.0454,                0.40104,                 0.9117,               0.000911,               0.000911,               0.000911
                     58,                 0.9668,                0.41556,                0.89624,                 0.9837,                0.92663,                0.96195,                   0.69,                 1.0391,                0.40265,                0.90985,              0.0008912,              0.0008912,              0.0008912
                     59,                0.96557,                0.40935,                0.89282,                0.98214,                0.92648,                0.96226,                0.69047,                 1.0495,                 0.4034,                0.91255,              0.0008714,              0.0008714,              0.0008714
                     60,                0.96145,                0.40929,                0.89552,                0.97155,                 0.9337,                0.96053,                 0.6885,                 1.0489,                 0.4063,                0.91362,              0.0008516,              0.0008516,              0.0008516
                     61,                0.97127,                0.41106,                0.89941,                0.98056,                0.93226,                0.96702,                0.69066,                  1.053,                0.40297,                0.91267,              0.0008318,              0.0008318,              0.0008318
                     62,                0.95895,                0.40577,                 0.8957,                0.98279,                0.92446,                0.96573,                 0.6917,                 1.0509,                0.39928,                0.91492,               0.000812,               0.000812,               0.000812
                     63,                0.95043,                0.40435,                0.89324,                0.98272,                0.92734,                0.96703,                0.69337,                  1.043,                0.39614,                0.91329,              0.0007922,              0.0007922,              0.0007922
                     64,                0.95975,                0.40525,                0.89641,                0.98346,                0.93478,                0.96687,                0.69515,                 1.0393,                0.39243,                0.91265,              0.0007724,              0.0007724,              0.0007724
                     65,                  0.955,                0.40624,                0.89253,                0.97957,                0.93261,                 0.9663,                0.69466,                 1.0408,                0.38977,                0.91175,              0.0007526,              0.0007526,              0.0007526
                     66,                0.94924,                0.40259,                0.89072,                0.97954,                0.92609,                0.96492,                0.69017,                 1.0479,                0.39316,                0.91479,              0.0007328,              0.0007328,              0.0007328
                     67,                0.94882,                 0.3977,                0.89392,                0.98204,                0.92772,                 0.9667,                0.69709,                 1.0441,                0.38969,                0.91018,               0.000713,               0.000713,               0.000713
                     68,                0.94141,                0.39795,                 0.8917,                0.98329,                0.92761,                0.96547,                0.69422,                 1.0446,                0.38661,                0.90895,              0.0006932,              0.0006932,              0.0006932
                     69,                0.94534,                0.39637,                0.89264,                0.98567,                 0.9288,                0.96682,                 0.6967,                 1.0448,                0.38543,                0.90928,              0.0006734,              0.0006734,              0.0006734
                     70,                0.93699,                0.39417,                 0.8914,                0.97935,                0.92811,                0.96582,                0.69288,                 1.0485,                0.38836,                0.91085,              0.0006536,              0.0006536,              0.0006536
                     71,                0.92995,                0.38978,                0.88896,                0.98328,                0.92706,                0.96581,                0.69505,                 1.0402,                0.38446,                0.90912,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.9378,                0.39329,                0.89128,                0.97934,                0.93043,                0.96458,                0.69446,                 1.0421,                0.38741,                0.91046,               0.000614,               0.000614,               0.000614
                     73,                0.93046,                 0.3884,                0.88985,                0.98163,                0.92957,                0.96661,                0.69878,                 1.0368,                0.38614,                0.90984,              0.0005942,              0.0005942,              0.0005942
                     74,                0.93222,                0.38873,                0.88857,                0.98124,                0.93098,                0.96619,                 0.6957,                 1.0413,                0.38324,                0.91192,              0.0005744,              0.0005744,              0.0005744
                     75,                0.92163,                0.38502,                0.88707,                 0.9795,                0.93261,                 0.9657,                0.69658,                  1.047,                0.38169,                0.91265,              0.0005546,              0.0005546,              0.0005546
                     76,                0.92111,                0.38356,                0.88689,                0.98119,                0.93553,                 0.9667,                0.69877,                 1.0464,                0.38352,                0.91149,              0.0005348,              0.0005348,              0.0005348
                     77,                0.92002,                0.38074,                0.88645,                0.97672,                0.93506,                0.96647,                0.70008,                  1.045,                0.38156,                0.91214,               0.000515,               0.000515,               0.000515
                     78,                0.91724,                0.38061,                0.88842,                0.97885,                0.93696,                0.96604,                0.69915,                 1.0406,                0.38001,                0.91144,              0.0004952,              0.0004952,              0.0004952
                     79,                0.91391,                0.37676,                0.89003,                0.97892,                0.93373,                0.96663,                0.70035,                 1.0367,                0.38019,                0.91137,              0.0004754,              0.0004754,              0.0004754
                     80,                0.91104,                 0.3754,                0.88787,                0.97536,                0.93424,                 0.9631,                 0.6991,                 1.0383,                0.38178,                0.91074,              0.0004556,              0.0004556,              0.0004556
                     81,                0.90635,                0.37491,                0.88737,                0.98448,                0.93093,                0.96578,                0.69939,                 1.0371,                0.38245,                 0.9109,              0.0004358,              0.0004358,              0.0004358
                     82,                0.90215,                0.37352,                0.88349,                0.98224,                0.93163,                0.96617,                0.70141,                  1.039,                0.38147,                0.91158,               0.000416,               0.000416,               0.000416
                     83,                0.90225,                0.37062,                0.88167,                0.98348,                0.93152,                0.96677,                0.70073,                 1.0425,                0.37995,                0.91334,              0.0003962,              0.0003962,              0.0003962
                     84,                0.89135,                0.36945,                0.87874,                0.98061,                0.93152,                0.96587,                0.70019,                 1.0439,                 0.3782,                0.91471,              0.0003764,              0.0003764,              0.0003764
                     85,                0.90758,                0.37076,                 0.8863,                0.98164,                0.92967,                0.96403,                0.69583,                 1.0411,                0.37635,                0.91262,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.8865,                 0.3632,                 0.8815,                0.98107,                0.92965,                0.96705,                0.69851,                 1.0404,                0.37629,                0.91325,              0.0003368,              0.0003368,              0.0003368
                     87,                0.89007,                0.36514,                0.88197,                0.98053,                0.93035,                0.96655,                0.70001,                 1.0424,                0.37587,                0.91406,               0.000317,               0.000317,               0.000317
                     88,                 0.8959,                0.36325,                0.88325,                0.98218,                0.92837,                0.96698,                 0.7004,                 1.0386,                 0.3735,                0.91369,              0.0002972,              0.0002972,              0.0002972
